segundo,central,usuario,ip,expediente,carpeta_id,paquetes,intentos_login,cambios_archivos,salida_datos,cpu,potencia_cpu_watts,temperatura,temperatura_sin_enfriamiento,refrigeracion_activa,velocidad_ventilador,velocidad_refrigerante,presion_entrada_refrigerante,presion_salida_refrigerante,presion_refrigerante,incremento_presion_porcentaje,consumo_enfriamiento_watts,consumo_total_watts,flujo,primera_derivada_paquetes,primera_derivada_sigmoide,segunda_derivada_sigmoide,derivada_cpu,derivada_temperatura,senal_periodica,desviacion_periodica,indice_oscilatorio,incidente,tipo_incidente,estado,cifrado,direccion,direccion_servidor
1,CENTRAL_NORTE,analista_forense,192.168.1.12,acta_circunstanciada,CI-2026-220325,373,0,2,12,40.9,49.08,50.7,51.7,0,3.2,0,101325,101325,101325,0.0,164.08,164.08,169.95,373.0,372.95,372.9,40.9,50.7,30.49,342.51,342.51,0,NINGUNO,NORMAL,NINGUNO,central_norte/ci-2026-220325/datos_01.log,http://servidor/central_norte/ci-2026-220325/datos_01.log
2,CENTRAL_CENTRO,agente_centro_01,192.168.3.13,evidencia_digital,CI-2026-132385,398,0,1,4,44.3,53.16,52.7,53.7,0,3.2,0,101325,101325,101325,0.0,168.16,168.16,179.85,25.0,16.14,-0.07,3.4,2.0,40.26,357.74,357.74,0,NINGUNO,NORMAL,NINGUNO,central_centro/ci-2026-132385/datos_02.log,http://servidor/central_centro/ci-2026-132385/datos_02.log
3,CENTRAL_NORTE,analista_forense,192.168.1.17,evidencia_digital,CI-2026-737738,134,1,2,4,35.2,42.24,47.4,48.4,0,3.2,0,101325,101325,101325,0.0,157.24,157.24,61.45,-264.0,-0.47,-6.67,-9.1,-5.3,46.44,87.56,87.56,0,NINGUNO,NORMAL,NINGUNO,central_norte/ci-2026-737738/datos_03.log,http://servidor/central_norte/ci-2026-737738/datos_03.log
4,CENTRAL_SUR,analista_criminalistica,192.168.1.12,oficio_ministerial,CI-2026-719960,390,1,2,8,27.2,32.64,42.8,43.8,0,3.2,0,101325,101325,101325,0.0,147.64,147.64,177.25,256.0,255.45,255.37,-8.0,-4.6,48.46,341.54,341.54,0,NINGUNO,NORMAL,NINGUNO,central_sur/ci-2026-719960/datos_04.log,http://servidor/central_sur/ci-2026-719960/datos_04.log
5,CENTRAL_CENTRO,analista_centro,172.16.0.44,acta_circunstanciada,CI-2026-855107,275,2,3,27,30.5,36.6,44.7,45.7,0,3.2,0,101325,101325,101325,0.0,151.6,151.6,128.75,-115.0,-6.85,-0.48,3.3,1.9,46.16,228.84,228.84,1,EXTRACCION_INFORMACION,NORMAL,NINGUNO,central_centro/ci-2026-855107/datos_05.log,http://servidor/central_centro/ci-2026-855107/datos_05.log
6,CENTRAL_NORTE,investigador_norte,192.168.2.15,registro_detencion,CI-2026-773762,162,2,0,7,31.6,37.92,45.3,46.3,0,3.2,0,101325,101325,101325,0.0,152.92,152.92,74.45,-113.0,-7.04,-0.09,1.1,0.6,39.73,122.27,122.27,0,NINGUNO,NORMAL,NINGUNO,central_norte/ci-2026-773762/datos_06.log,http://servidor/central_norte/ci-2026-773762/datos_06.log
7,CENTRAL_CENTRO,perito_centro,192.168.2.14,oficio_ministerial,CI-2026-874052,397,2,0,2,41.3,49.56,51.0,52.0,0,3.2,0,101325,101325,101325,0.0,164.56,164.56,179.45,235.0,234.17,240.47,9.7,5.7,29.76,367.24,367.24,0,NINGUNO,NORMAL,NINGUNO,central_centro/ci-2026-874052/datos_07.log,http://servidor/central_centro/ci-2026-874052/datos_07.log
8,CENTRAL_CENTRO,perito_centro,192.168.2.12,registro_detencion,CI-2026-783284,281,1,3,7,25.5,30.6,41.8,42.8,0,3.2,0,101325,101325,101325,0.0,145.6,145.6,128.2,-116.0,-6.75,-0.74,-15.8,-9.2,17.12,263.88,263.88,0,NINGUNO,NORMAL,NINGUNO,central_centro/ci-2026-783284/datos_08.log,http://servidor/central_centro/ci-2026-783284/datos_08.log
9,CENTRAL_SUR,agente_sur_01,192.168.3.17,registro_detencion,CI-2026-668524,350,0,1,3,43.5,52.2,52.2,53.2,0,3.2,0,101325,101325,101325,0.0,167.2,167.2,158.1,69.0,57.94,53.39,18.0,10.4,2.96,347.04,347.04,0,NINGUNO,NORMAL,NINGUNO,central_sur/ci-2026-668524/datos_09.log,http://servidor/central_sur/ci-2026-668524/datos_09.log
10,CENTRAL_CENTRO,ext_user,192.168.3.17,evidencia_digital,CI-2026-185998,157,0,7,10,23.6,28.32,40.7,41.7,0,3.2,0,101325,101325,101325,0.0,143.32,143.32,73.2,-193.0,-1.86,-11.5,-19.9,-11.5,-11.47,168.47,168.47,1,MODIFICACION_EVIDENCIA,ALERTA,NINGUNO,fhqwudo_fhqwur/fl-2026-185998/gdwrv_10.orj,http://servidor/central_centro/ci-2026-185998/datos_10.log
